piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,porcen_corregir,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
6000,35000,120,1,2,1,0.35,242.0,3950000,[1100402. 1184326.],1142364.0,[2849598. 2765674.],2807636.0,41962.0,0.0,[1804490. 1727442.],1765966.0,[2145510. 2222558.],2184034.0,38524.0,0.0,[2264208. 2405194.],2334701.0,[1685792. 1544806.],1615299.0,70493.0,0.0
6000,35000,120,1,2,2,1.0,242.0,3950000,[3104656. 2776820.],2940738.0,[ 845344. 1173180.],1009262.0,163918.0,0.0,[3937292. 4087796.],4012544.0,[  12708. -137796.],-62544.0,75252.0,0.5,[5424552. 5710236.],5567394.0,[-1474552. -1760236.],-1617394.0,142842.0,1.0
6000,35000,120,1,2,2,0.5,242.0,3950000,[1212824. 1511620.],1362222.0,[2737176. 2438380.],2587778.0,149398.0,0.0,[1929480. 2171364.],2050422.0,[2020520. 1778636.],1899578.0,120942.0,0.0,[3008336. 2536568.],2772452.0,[ 941664. 1413432.],1177548.0,235884.0,0.0
6000,35000,120,1,2,2,0.35,242.0,3950000,[1132680. 1229480.],1181080.0,[2817320. 2720520.],2768920.0,48400.0,0.0,[1695056. 1791456.],1743256.0,[2254944. 2158544.],2206744.0,48200.0,0.0,[2325760. 2294600.],2310180.0,[1624240. 1655400.],1639820.0,15580.0,0.0
6000,35000,120,1,3,1,1.0,242.0,3950000,[2563112. 2334530.],2448821.0,[1386888. 1615470.],1501179.0,114291.0,0.0,[4081606. 3822140.],3951873.0,[-131606.  127860.],-1873.0,129733.0,0.5,[4816454. 5767252.],5291853.0,[ -866454. -1817252.],-1341853.0,475399.0,1.0
6000,35000,120,1,3,1,0.5,242.0,3950000,[1659374. 1391780.],1525577.0,[2290626. 2558220.],2424423.0,133797.0,0.0,[2267472. 2255080.],2261276.0,[1682528. 1694920.],1688724.0,6196.0,0.0,[3152268. 2896758.],3024513.0,[ 797732. 1053242.],925487.0,127755.0,0.0
6000,35000,120,1,3,1,0.35,242.0,3950000,[1509058. 1443384.],1476221.0,[2440942. 2506616.],2473779.0,32837.0,0.0,[2292990. 2397484.],2345237.0,[1657010. 1552516.],1604763.0,52247.0,0.0,[3099670. 3068068.],3083869.0,[850330. 881932.],866131.0,15801.0,0.0
6000,35000,120,1,3,2,1.0,242.0,3950000,[3521512. 2821150.],3171331.0,[ 428488. 1128850.],778669.0,350181.0,0.0,[5004540. 4413562.],4709051.0,[-1054540.  -463562.],-759051.0,295489.0,1.0,[5420770. 5407900.],5414335.0,[-1470770. -1457900.],-1464335.0,6435.0,1.0
6000,35000,120,1,3,2,0.5,242.0,3950000,[1655336. 1545726.],1600531.0,[2294664. 2404274.],2349469.0,54805.0,0.0,[2710918. 2493376.],2602147.0,[1239082. 1456624.],1347853.0,108771.0,0.0,[2920558. 3160080.],3040319.0,[1029442.  789920.],909681.0,119761.0,0.0
6000,35000,120,1,3,2,0.35,242.0,3950000,[1475136. 1622114.],1548625.0,[2474864. 2327886.],2401375.0,73489.0,0.0,[2203734. 2221400.],2212567.0,[1746266. 1728600.],1737433.0,8833.0,0.0,[2965402. 3289098.],3127250.0,[984598. 660902.],822750.0,161848.0,0.0
6000,35000,120,2,2,1,1.0,242.0,3950000,[2913922. 2469212.],2691567.0,[1036078. 1480788.],1258433.0,222355.0,0.0,[4175294. 4244970.],4210132.0,[-225294. -294970.],-260132.0,34838.0,1.0,[4648182. 5365404.],5006793.0,[ -698182. -1415404.],-1056793.0,358611.0,1.0
6000,35000,120,2,2,1,0.5,242.0,3950000,[1605768. 1396336.],1501052.0,[2344232. 2553664.],2448948.0,104716.0,0.0,[2274286. 2102070.],2188178.0,[1675714. 1847930.],1761822.0,86108.0,0.0,[2918944. 3171664.],3045304.0,[1031056.  778336.],904696.0,126360.0,0.0
